Variety,Length,Width,Curvature,Greenness
A,84.35,14.6,1.4,62.7
A,90.95,15.8,1,65.3
A,87.55,15.8,0.6,62.9
A,96.72,16.3,1,66.2
A,90.78,15.2,1.4,66.8
A,92.35,15.8,1,63.5
A,90.17,15.8,1.1,70.3
A,93.14,15.8,1.2,66.4
A,96.19,15.2,1.5,60
A,102.23,16.3,1.2,63.1
A,81.71,12.6,1.1,52.9
B,78.83,13.1,1.3,51.2
B,84.37,13.1,1.6,48.3
B,86.19,12.6,1.2,53
B,83.26,13.1,1.3,48.9
B,89.39,14.3,1.4,46.1
B,92.59,13.7,1.3,50
B,89.83,13.7,1.3,49.6
B,91.73,13.7,1.5,47.9
B,87.1,13.1,1.5,47.2
B,91.37,14.1,1.4,46.9
B,88.48,12.4,1.5,52.2
C,87.93,14.1,1.6,55.4
C,82.96,13.5,1.2,54.9
C,90.21,13.5,1.6,50.5
C,75.6,12.4,1,55.9
C,89.45,14.1,1.6,57.8
C,92.89,14.1,1.5,55.9
C,79.63,12.9,1.4,51.1
C,88.81,12.9,1.8,53.3
C,79.71,13.1,1,75.8
C,78.09,13.1,0.9,77
C,75.56,12.6,1.2,77.1
D,76.93,12.6,0.8,78.8
D,76.47,12.6,1.2,81
D,75.1,12.6,1.1,78.7
D,81.32,13.1,0.8,79.4
D,76.8,12,1.1,74.3
D,76.87,12.6,1.2,72.4
D,73.99,12.6,1.2,75.6
